post url,post title,post price,post location
https://newyork.craigslist.org/brk/apa/d/brooklyn-deal-spacious-crown-heights/7694943051.html,🔥A DEAL🔥 SPACIOUS CROWN HEIGHTS 3 BED + W/D 🔥,"$3,000",Brooklyn
https://newyork.craigslist.org/brk/apa/d/brooklyn-plg-deal-bed-bath-brand-new/7694942875.html,PLG DEAL 🔥🔥 3 bed/1 Bath BRAND NEW RENOVATION! ⚡️,"$3,600",Brooklyn
https://newyork.craigslist.org/brk/apa/d/brooklyn-crown-heights-luxurious-bed/7694942780.html,CROWN HEIGHTS LUXURIOUS 1 BED w Large bedroom! 🔥,"$2,400",Brooklyn
https://newyork.craigslist.org/brk/apa/d/brooklyn-epic-deal-spacious-bed-near/7694942680.html,EPIC DEAL! SPACIOUS 2 Bed NEAR THE L TRAIN 🚊,"$3,000",Brooklyn
https://newyork.craigslist.org/brk/apa/d/brooklyn-plg-flatbush-bed-massive/7694942568.html,🌲PLG/FLATBUSH🌲 1 bed + MASSIVE closet 👕 TONS of Sunlight!,"$2,495",Brooklyn
https://newyork.craigslist.org/brk/apa/d/new-york-williamsburg-south-st-berry/7694942263.html,Williamsburg South 1 st (Berry and Wythe) Brownstone,"$4,200",Williamsburg
https://newyork.craigslist.org/brk/apa/d/new-york-williamsburg-brownstone-stop/7694942075.html,Williamsburg Brownstone 1 stop Manh on LMJ train,"$4,200",Williamsburg
https://newyork.craigslist.org/wch/apa/d/elmsford-oh-my-what-gorgeous-place-see/7694939064.html,"Oh my! What a gorgeous place! See this 2 bed, 2 bath for yourself!","$3,434",Elmsford
https://newyork.craigslist.org/mnh/apa/d/new-york-gorgeous-apartment-in-east/7694937228.html,Gorgeous apartment in East Harlem for $2150!,"$2,150",East Harlem
https://newyork.craigslist.org/mnh/apa/d/new-york-huge-renovated-3br-apt-with-d/7694936334.html,HUGE RENOVATED 3BR APT WITH W/D INSIDE! KING-SIZED ROOMS! AL RENOVATED,"$2,995",Inwood / Wash Hts
https://newyork.craigslist.org/brk/apa/d/brooklyn-newly-renovated-apartment-on/7694936351.html,"Newly Renovated Apartment on Malcom X, 2 Bath, Washer + Dryer","$4,105",Bedstuy
https://newyork.craigslist.org/brk/apa/d/brooklyn-windsor-terracetop-floor/7694936352.html,"WINDSOR TERRACE.TOP FLOOR CHARMER !2BR+DOUBLE DEN.HALF MONTH FEE,TOWNH","$2,995","WINDSOR TERRACE, BROOKLYN"
https://newyork.craigslist.org/brk/apa/d/brooklyn-park-slope-gowanus-cozy-15-br/7694935410.html,"Park Slope/ Gowanus  Cozy 1.5 BR  $2,250","$2,250",4th Ave Douglass St
https://newyork.craigslist.org/brk/apa/d/brooklyn-junior-bedroom-by-owner/7694933614.html,Junior 2 Bedroom by Owner,"$1,500",Old Mill Basin
https://newyork.craigslist.org/brk/apa/d/brooklyn-green-point-asap-move-in-huge/7694929093.html,✨Green Point Asap move in Huge 5 bed 2 bath apt in GreenPoint✨,"$5,400",Green Point
https://newyork.craigslist.org/brk/apa/d/brooklyn-great-location-bed-bath-apt-on/7694928925.html,✨Great location 3 bed 1 bath apt on Wyckoff✨,"$2,999",Bushwick
https://newyork.craigslist.org/mnh/apa/d/huge-studio-in-hudson-heights-elevator/7694928022.html,Huge Studio in Hudson Heights / Elevator / New Bathroom / No Fee,"$1,750",Inwood / Wash Hts
https://newyork.craigslist.org/brk/apa/d/brooklyn-stunning-bed-bath-apt-in/7694927981.html,🤩Stunning 3 bed 1 bath apt in Bushwick ✨,"$3,200",Bushwick
https://newyork.craigslist.org/brx/apa/d/bronx-huge-2br-bath-clinton-avenue/7694927923.html,HUGE 2BR / 2 BATH!!!!!! Clinton Avenue - Elevator / No Fee,"$2,250",Clinton Ave / East Tremont Area
https://newyork.craigslist.org/fct/apa/d/stamford-fully-renovated-and-ready-for/7694928777.html,Fully renovated and ready for you! Come see it today!,"$1,555",Stamford
https://newyork.craigslist.org/que/apa/d/ridgewood-first-floor-bedroom-apartment/7694927416.html,First Floor 3 Bedroom Apartment,"$3,700",Ridgewood
https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-bed-plus-office-bath/7694927751.html,🔥Spacious 2 bed plus office  2 bath apt in Bushwick near the L train,"$2,900",Bushwick
https://newyork.craigslist.org/brx/apa/d/bronx-morris-avenue-studio-apt-no-fee/7694927720.html,Morris Avenue - Studio Apt - No Fee!  Elevator Building,"$1,295",Morris Ave Fordham Rd Area
https://newyork.craigslist.org/brx/apa/d/mosholu-large-1br-elevator-no-fee/7694927513.html,Mosholu *Large 1BR*  Elevator / No Fee *Modern Kitchen,"$1,695",Mosholu
https://newyork.craigslist.org/que/apa/d/jackson-heights-huge-studio-elevator-no/7694927393.html,Jackson Heights *HUGE STUDIO!  Elevator / No Fee,"$1,850",Jackson Heights
https://newyork.craigslist.org/mnh/apa/d/new-york-washington-heights-large-1br/7694927279.html,Washington Heights - Large 1BR -  Modern Kitchen_No Fee,"$1,800",Inwood / Wash Hts
https://newyork.craigslist.org/mnh/apa/d/new-york-3br-bowery-2nd-st-by-owner-no/7694925754.html,"3BR Bowery & 2nd St, By Owner, No Fee","$5,400",Nolita / Bowery
https://newyork.craigslist.org/wch/apa/d/yonkers-apartment-for-rent/7694925359.html,APARTMENT FOR RENT,$1,Yonkers
https://newyork.craigslist.org/mnh/apa/d/new-york-renovated-2bed-1bath-apt-i/7694924650.html,"@ Renovated 2bed/1bath Apt w/i ""Heat/ Rooftop Terrace/ Laundry"" @","$3,600",Midtown East
https://newyork.craigslist.org/brx/apa/d/bronx-no-fee-renovated-large-bedroom/7694922312.html,"NO FEE,  RENOVATED 2 LARGE BEDROOM,  EXPRESS #6 SUBWAY","$2,200",Parkchester
https://newyork.craigslist.org/brk/apa/d/brooklyn-flatlands-2br-2bath-duplex-all/7694918570.html,FLATLANDS 2BR - 2BATH DUPLEX ALL UTILITIES ONLY $2500,"$2,500",Brooklyn
https://newyork.craigslist.org/brk/apa/d/brooklyn-rooms-rent-flatbush-ave-steps/7694916949.html,ROOMS 4 RENT! FLATBUSH & AVE O STEPS TO KINGS PLAZA AVAILABE ASAP!,"$1,200",OLD MILL BASIN
https://newyork.craigslist.org/brk/apa/d/brooklyn-3br-15-bath-balcony-everything/7694917333.html,3BR 1.5 BATH - BALCONY - EVERYTHING INCLUDED! AVAIL-ASAP!,"$2,600",EAST FLATBUSH
https://newyork.craigslist.org/brk/apa/d/brooklyn-2br-walk-in-basement/7694917188.html,2BR WALK-IN BASEMENT. EVERYTHING INCL.. CHURCH & E 48 AVAILABLE ASAP!,"$2,200",EAST FLATBUSH
https://newyork.craigslist.org/brk/apa/d/brooklyn-amazing-deal-on-renovated-bed/7694915624.html,Amazing deal on a renovated 1 bed in prime Williamsburg!,"$2,750",brooklyn
https://newyork.craigslist.org/brk/apa/d/brooklyn-furnished-private-room-for/7694914236.html,Furnished Private Room For Rent - All Utilities included-No broker fee,"$1,100",Greenpoint
